"AGE";"EP_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"SEASONAL_ADJUST";"SEX";"UNIT_MEASURE";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"STAT_ADJUST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1956;0
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1984;13333803
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1983;13218159
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1965;21858205
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"P";"PROV";"0";2025;66578547
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"P";"PROV";"0";2024;15117177
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1972;51485953
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1969;50107735
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1968;49723072
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1967;49373537
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1992;15473515
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1990;15719647
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1951;6.2
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";2013;3.5
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";2004;4.2
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1998;3.7
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1997;3.7
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1958;336492
"_T";"EVO_MIGRAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1994;51301
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";2002;4
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2022;50875
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";2005;4.1
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1968;310576
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1982;4.6
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1985;4.2
"_T";"EVO_MIGRAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1988;66456
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1929;-0.2
